Sn,Project,Capacity(MW),River,LicNo,IssueData,Validity,Promoter,Address,Latitude N,Longitude E,VDC/District,COD
,11,Kulekhani-II,32.000,Kulekhani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 30' 06""","27o 32' 06""","85o 02' 32""","85o 08' 21""",    (Makawanpur),2043-07-15," Cascade to Kulekhani I Storage,  COD 1986-",
,12,Devighat,14.100,Trishuli,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 53' 07""","27o 55' 09""","85o 07' 55""","85o 08' 45""",    (Nuwakot),2041-08-16, COD 1984-12-01,
,13,Andhi Khola,9.400,Andhi Khola,2_gtd,2052-01-08,2101-12-30,Butwal Power Company, ,"27o 55' 34""","27o 57' 02""","83o 40' 37""","83o 41' 06""",    (Syangja),2048-02-18, COD for 5.1 MW : 2048-02-18,
,14,Jhimruk Khola,12.500,Jhimruk,3_gtd,2052-01-25,2101-12-30,Butwal Power Company, ,"28o 04' 02""","28o 04' 46""","82o 48' 04""","82o 49' 07""",    (Pyuthan),2041-04-17,COD 1994-08-01,
,15,Puwa,6.200,Puwa,2,2052-05-27,2101-11-30,Nepal Electricity Authority, ,"26o 52' 28""","26o 54' 50""","87o 54' 04""","87o 55' 52""", Ilam N.P. (Ilam),2060-12-22, COD 2000-04-04,
,16,Modi Khola,14.800,Modi Khola,3,2052-10-24,2101-11-30,Nepal Electricity Authority, ,"28o 15' 42""","28o 17' 45""","83o 43' 47""","83o 45' 45""",    (Parbat),2057-08-16, COD 2000-12-01,
,17,Kali Gandaki A,144.000,Kali Gandaki,4,2053-07-21,2101-11-30,Nepal Electricity Authority, ,"27o 55' 00""","28o 00' 52""","83o 26' 12""","83o 37' 20""", Shreekrishna Gandaki (Syangja),2059-04-31, COD 2002-08-16,
,18,Upper Bhotekoshi,45.000,Bhote Koshi,5,2053-08-13,2093-07-30,Bhotekoshi Power Company, ,"27o 54' 40""","27o 56' 42""","85o 55' 13""","85o 56' 55""",    (Sindhupalchok),2057-10-11,COD 2001-01-24 (upgrade from 36 MW in 2012),
,19,Chilime,22.000,Chilime,6,2054-04-26,2104-11-30,Chilime Hydropower Company Limited,"  KMC-3,  Maharajgunj,  POBox: 25210,  Kathmandu,  e-mail: info@chilime.com.np","28o 09' 15""","28o 11' 07""","85o 17' 53""","85o 20' 28""", Chilime (Rasuwa),2065-05-07,COD 2003-08-23,
,20,Indrawati -III,7.500,Indrawati Khola,7,2054-11-14,2104-09-29,National Hydropower Company Pvt. Ltd., ,"27o 51' 38""","27o 53' 15""","85o 35' 24""","85o 37' 12"""," Jyamire, Langarche (Sindhupalchok)",2059-06-21,COD 2002-10-07,
,21,Madhya Marsyangdi,70.000,Marsyangdi,8,2057-03-12,2106-01-31,Nepal Electricity Authority, ,"28o 08' 20""","28o 11' 50""","84o 24' 18""","84o 26' 51""",    (Lamjung),2065-07-16, COD 2008-11-01,
,22,Piluwa Khola,3.000,Piluwa Khola,9,2057-05-05,2097-04-32,Arun Valley Hydropower Development Company Pvt. Ltd., ,"27o 15' 45""","27o 17' 05""","87o 19' 35""","87o 20' 56""",    (Sankhuwasabha),2060-06-01,COD 2003-09-18,
,23,Sunkoshi Small,2.600,Sun Koshi,12,2059-06-22,2094-03-31,Sanima Hydripower Pvt.Ltd, ,"27o 46' 00""","27o 48' 00""","85o 53' 00""","85o 56' 00""",    (Sindhupalchok),2061-12-11,COD 2005-03-24 ,
,24,Mailung Khola,5.000,Mailung Khola,  13,2060-12-03,2094-12-30,Mailun Khola Hydropower Company Pvt. Ltd , ,"28o 04' 03""","28o 05' 00""","85o 11' 26""","85o 13' 07""",    (Rasuwa),2071-03-19,COD : 2071-03-19,
,25,Chaku Khola,3.000,Chaku,17,2061-11-04,2096-11-03,Alliance Power Nepal P.Ltd, ,"27o 52' 00""","27o 53' 00""","85o 54' 30""","85o 56' 00"""," Fulpingkatti, Tatopani (Sindhupalchok)",2062-03-01,COD:2062-03-01 for 1.5 MW,
,26,Khudi Khola,4.000,Khudi,16,2061-11-13,2096-11-12,Khudi hydropower limited, ,"28o 16' 30""","28o 18' 30""","84o 19' 30""","84o 21' 30"""," Ghanpokhara, Khudi, Simpani (Lamjung)",2063-09-15,COD 2006-12-30,
,27,Thoppal Khola,1.650,Thoppal,19,2063-03-25,2098-03-24,Thoppal Khola Hydropower Company, ,"27o 49' 00""","27o 51' 00""","84o 50' 30""","84o 53' 30""",    (Dhading),2064-04-24,COD 2007-10-30,
,28,Chameliya Khola,30.000,Chameliya Khola,  20,2063-09-04,2098-09-03,Nepal Electricity Authority, ,"29o 41' 00""","29o 44' 00""","80o 38' 00""","80o 42' 38"""," Latinath, Seri, Sikhar (Darchula)",2074-10-27, ,
,29,Mardi Khola,4.800,Mardi,21,2063-10-08,2098-10-07,Gandaki Hydropower Development Co. P. Ltd, ,"28o 19' 10""","28o 22' 14""","83o 52' 55""","83o 53' 30""",    (Kaski),2066-10-08,COD 2010-01-22,
,30,Ridi Khola,2.400,Ridi,22,2064-02-17,2099-02-16,Ridi Hydropower Development  Co P Ltd,"  P.O. Box: 11039,   Baneswor Kathmandu Ph: 4475234,  44474895","27o 55' 30""","27o 57' 00""","83o 23' 30""","83o 26' 30""",    (Palpa),2066-07-10,COD 2009-10-27,
,31,Mai Khola,4.500,Mai Khola,23,2064-08-20,2099-08-19,Himal Dolkha Hydropower Co  Ltd, ,"26o 52' 36""","26o 53' 36""","87o 55' 47""","87o 56' 38""",    (Ilam),2064-10-14, COD 2011-01-28,
,32,Hewa khola,4.455,Hewa Khola,25,2065-01-22,2100-01-21,Barun Hydropower Development Co. Pvt. Ltd, ,"27o 18' 54""","27o 19' 33""","87o 19' 00""","87o 20' 44"""," Jaljala, Siddhapokhari (Sankhuwasabha)",2067-04-17, COD 2011-08-02,
,33,Lower Chaku Khola,1.800,Chaku,  26,2065-05-09,2100-05-08,Laughing Buddha Power Nepal Pvt. Ltd, ,"27o 52' 33""","27o 53' 46""","85o 54' 43""","85o 55' 29""",    (Sindhupalchok),2070-04-24,COD : 2070-04-24,
,34,Sipring Khola,10.000,Sipring,27,2066-01-30,2101-01-29,Synergy Power Development P Ltd," P.O.Box 24600,  Kathmandu,  Phone 01-4440433","27o 48' 38""","27o 49' 39""","86o 13' 47""","86o 15' 18"""," Khare, Gauri Sankar (Dolakha)",2069-10-03, COD: 2069-10-03,
,35,Lower Modi -1,10.000,Modi Khola,  29,2066-05-02,2101-05-02,"United Modi Hydropower Pvt. Ltd.,  1st Floor Heritage Plaza 2; Kamaladi,  Kathmandu Metropolitan - 31",Phone 014169114; Fax : 014169113; email : unitedmodi@ntc.net.np,"28o 13' 15""","28o 14' 07""","83o 42' 05""","83o 43' 00""",    (Parbat),2069-08-09, COD: 2012-11-24,
,36,Bhairab Kund Khola,3.000,Bhairab Kund,30,2066-05-19,2101-05-18,Bhairabkund Hydropower Pvt. Ltd.,"Minbhawan Kathmandu,  Phone01-4482201,  Fax 01-4482008","27o 55' 52""","27o 56' 30""","85o 55' 53""","85o 56' 28""", Tatopani (Sindhupalchok),2071-02-22,COD : 2071-02-22,
,37,Siuri Khola,5.000,Siuri,31,2066-05-30,2101-05-29,Nyadi Group Pvt Ltd," PO Box 14165,  Kathmandu,  Ph: 6219566","28o 20' 24""","28o 21' 00""","84o 27' 41""","84o 29' 23""",   (Lamjung),2069-06-30, COD: 2069-06-30,
,38,Ankhu Khola - 1,7.000,Ankhu Khola,  32,2066-08-26,2101-08-25,Ankhu Jalvidut Co. Pvt. Ltd,"Kathmandu,  Phone 01-4286228,  9841545350,  9851072170","28o 00' 00""","28o 01' 30""","84o 54' 00""","84o 55' 55""",    (Dhading),2070-05-08, COD : 2070-05-08,
,39,Baramchi Khola  HPP,4.200,Baramchi,33,2066-10-26,2101-10-25,Unique Hydel Pvt Ltd,"Thulo Bharyang,  Kathmandu Phone 01-4672598, 4672599","27o 50' 11""","27o 51' 30""","85o 46' 38""","85o 48' 15"""," Baramchi, Hagam (Sindhupalchok)",2071-12-30, COD 2010-11-14 (upgraded),
,40,Bijayapur-1,4.500,Bijayapur,34,2066-12-22,2101-12-21, Bhagawati Hydropower Development Company,,"28o 10' 37""","28o 11' 26""","84o 01' 31""","84o 02' 26""",    (Kaski),2069-05-05, COD: 2069-05-05,
,41,Upper Madi,25.000,Madi Khola,35,2067-01-27,2102-01-26,"Madi Power Pvt Ltd., ","GPO Box 2581,  Gorakha Complex Minbhawan,  Phone 01-4106507,  4106729,  4106731,  Fax 01-4106640","28o 15' 37""","28o 17' 56""","84o 04' 00""","84o 06' 30"""," Namarjung, Thumakodada, Sildujure (Kaski)",2073-09-25,COD : 2073-09-25,
,42,Upper Mai Hydropower Project (Panchakanya Mai Hydropwer limi,12.000,Mai Khola,36,2067-04-23,2102-04-22,Mai Valley Hydropower P Ltd.,"Lalitpur - 3,  Bakhundol ,  Pulchowk,  Lalitpur,  POB 24194,  Ph 015010631, 5010632","27o 01' 22""","27o 03' 30""","87o 56' 30""","87o 58' 00"""," Mabu, Maimajhuwa (Ilam)",2073-03-09,COD : 2073-03-09,
,43,Mai,22.000,Mai Khola,  37,2067-05-13,2102-05-12,Sanima Mai Hydropower Limited,"GPO 19737,  Ph: 44445952,  444642 Fax:4425953","26o 47' 21""","26o 50' 00""","87o 52' 00""","87o 55' 00""",    (Ilam),2071-10-14,COD : 2071-10-14,
,44,Phawa khola Hydropower Project,5.000,Phawa Khola,39,2067-06-19,2102-06-18,Shiwani Hydropower Company,"Baneshwor,  Kathamandu - 10,  Ph. 4466405,  Fax: 4460137","27o 16' 37""","27o 19' 03""","87o 45' 27""","87o 46' 22"""," Dummrise, Chaksibote, Thechambu (Taplejung)",0000-00-00, ,
,45,Charnawati Khola Hydroelectric Project,3.520,Charnawati,40,2067-08-17,2102-08-16,Nepal Hydro Developer Pvt Ltd,"Baneswar-10,  Kathmandu,  Tel; 4441131,  Fax: 014441973, POB: 26435","27o 37' 50""","27o 39' 20""","86o 00' 58""","86o 02' 23""", Mati (Dolakha),2070-02-24,COD : 2070-02-24,
,46,Upper Trishuli 3A,60.000,Trishuli,43,2067-11-15,2102-11-14,Nepal Electricity Authority,"Durbar Marg ,  Kathmandu","28o 01' 21""","28o 04' 14""","85o 11' 16""","85o 12' 38"""," Dandagoun, Laharepouwa, Thulogoun, Ramche (Rasuwa)",2076-05-13,"  COD date: Bhadra 13, 2076 (August 30,  2019)",
,47,Jiri Khola SHP,2.400,Jiri Khola,42,2067-11-17,2102-11-16,Bojini Company (P.) Ltd,"Buddhanagar,  Kathmandu. G.P.O Box: 8974,  4783532, 4782765","27o 35' 06""","27o 36' 45""","86o 13' 24""","86o 14' 00""",    (Dolakha),2071-11-01,COD : 2071-11-01,
,48,Pikhuwa Khola,5.000,Pikhuwa,  45,2067-12-07,2102-12-06,Eastern Hydropower P Ltd,"Kathmandu,  Phone 01-4495459","27o 08' 50""","27o 10' 33""","87o 00' 41""","87o 02' 03"""," Kota, Bokhim, Bhojpur (Bhojpur)",2076-02-27, ,
,49,Middle Chaku Khola,1.800,Chaku,44,2067-12-07,2102-12-06,Laughing Budha Power Nepal," GPO Box: 4619 ,  Katmandu","27o 52' 20""","27o 52' 50""","85o 55' 45""","85o 56' 00""",   (Sindhupalchok),2069-11-15, COD: 2069-11-15,
,50,Radhi Small,4.400,Radhi,47,2068-01-28,2103-01-27,Radhi Bidyut Co. Ltd,"P.O.Box: 20290,   Phone-014232750, 4232749 ,  Fax: 014232748,  Blue Star Complex,  Room No. 523,  Tripureshwor,  Kathmandu","28o 23' 48""","28o 24' 30""","84o 24' 34""","84o 25' 45""",    (Lamjung),2071-02-31,COD : 2071-02-31,
,51,Tadi Khola (thaprek),5.000,Tadi Khola,54,2068-08-06,2103-08-05,Aadi Shakti Bidhut Bikash Co. P. Ltd,"P.O. Box: 897,  Ph: 01-4219731","27o 55' 00""","27o 55' 56""","85o 19' 15""","85o 21' 08""",    (Nuwakot),2058-10-10,COD : 2070-01-20,
,52,Upper Chaku A,22.200,Chaku, 58,2068-11-12,2103-11-11,Shiva Sri Hydropower Pvt. Ltd,"P.O.Box 13860 Kathmandu,  Phone 01-4466330,   ","27o 51' 31""","27o 52' 31""","85o 56' 00""","85o 58' 06"""," Marbin, Fulpingkatti (Sindhupalchok)",2078-02-01,  COD 2078-02-01,
,53,Upper Marsyangdi A,50.000,Marsyangdi,60,2068-12-17,2103-12-16,Sinohydro-Sagarmatha Power Company Pvt Ltd,"Sanepa ,  Lalitpur","28o 17' 07""","28o 19' 28""","84o 21' 55""","84o 24' 10"""," Bhulbhule, Bahundada, Khudi (Lamjung)",2073-07-30,COD : 2073-07-30,
,54,Thapa Khola,11.200,Thapa Khola,61,2069-01-26,2104-01-25,Mount Kailash Energy Co. Ltd,"Tupche -3,  Nuwakot , Tel: 9841832093","28o 42' 32""","28o 44' 30""","83o 36' 44""","83o 38' 52""",   (Mustang),2074-08-22, ,
,55,Daraundi A,6.000,Daraundi,62,2069-02-16,2104-02-15,Daraundi Kalika Hydro,"Samakhusi,  Kathmandu,  Nepal. Ph: 4360076","28o 06' 29""","28o 08' 13""","84o 39' 43""","84o 41' 33""",    (Gorkha),2073-08-12,COD : 2073-08-12,
,56,Jhyari Khola,2.000,Jhyari Khola,63,2069-02-30,2104-02-29,"Electrocom and Research Centre,  9851003846","Baneshwor,  Kathamandu - 10,  Ph. 9851003846, 9751000944","27o 44' 30""","27o 46' 35""","85o 40' 15""","85o 41' 02"""," Pipaldanda, Sanusiruwari, Kunchok, Bhotsipa (Sindhupalchok)",2073-04-01,COD : 2073-04-01,
,57,Nau Gad Khola,8.500,Naugad,  65,2069-03-31,2104-03-30,Api Power Company Pvt. Ltd,"Dillibajar Kathmandu, Phone 4417136, 4433252 Fax 4421114","29o 41' 15""","29o 43' 08""","80o 36' 15""","80o 36' 38""",    (Darchula),2072-05-02,COD : 2072-05-02,
,58,Upper Hugdi,5.000,Hugdi, 67,2069-04-30,2104-04-29,Ruru Jalbidyut Pariyojana Pvt. Ltd,"P.O. Box 8416,  Samakhusi,  Kathmandu-29,  Nepal,  Phone: 01-4389703,  4357563 Fax :01-4357563","28o 05' 00""","28o 06' 12""","83o 23' 17""","83o 25' 17""",    (Gulmi),2071-12-09,COD : 2071-12-09,
,59,Midim Khola,3.000,Midim Khola,68,2069-05-06,2104-05-05,Union Hydropower P.Ltd,"P.O.B. No: 12637,  Ph: 01-5543850","28o 10' 53""","28o 12' 00""","84o 16' 42""","84o 17' 30""", Karapu (Lamjung),2074-10-15, ,
,60,Mai Cascade,7.000,Mai Khola, 72,2069-07-15,2104-07-14,Sanima Mai Hydropower Limited,"Narananchaur,  Naksal Kathmandu,  P. O. Box 19737,  Phone 01-4446442,  Fax 01-4441277","26o 45' 43""","26o 47' 21""","87o 52' 02""","87o 53' 09""",    (Ilam),2072-12-19,COD : 2072-12-19,
,61,Hewa Khola A,14.900,Hewa Khola,74,2069-08-21,2104-08-20,Panchthar Power Company Pvt. Ltd.,"Hativan 15,  Lalitpur,  Phone 01-5251003 fax 5251004","27o 10' 09""","27o 11' 33""","87o 47' 30""","87o 50' 58"""," Bharapa, Nangeen, Yanganam (Panchthar)",2074-01-10, COD:2073-09-01 (for 2.9MW),
,62,Namarjun Madi,12.000,Madi Khola,78,2069-09-11,2104-09-10,Himalayan Hydropower Pvt.Ltd,"P.O. Box No.: 20225,  Lazimpat,  Kathmandu,  Phone: 01-4441216,  Fax: 01-4441217","28o 17' 56""","28o 19' 00""","84o 05' 00""","84o 06' 08"""," Namarjung, Sildujure (Kaski)",2077-06-13, ,
,63,Sabha Khola,3.300,Sabha Khola,81,2069-10-04,2104-10-03,Dibyaswari Hydropower P Ltd,"Purano Baneswor,  Kathmandu,  Phone 014461326,  ","27o 23' 19""","27o 24' 13""","87o 16' 23""","87o 17' 35""", Dhupu (Sankhuwasabha),2074-06-04, ,
,64,Tungun - Thosne Khola,4.360,Tugun,84,2069-11-03,2104-11-02,Khani Khola Hydropower Company  Ltd,"Baluwatar Kathmandu,  P.O.Box 8975, Ph 01-4417219","27o 29' 15""","27o 29' 50""","85o 18' 20""","85o 19' 53""",    (Lalitpur),2073-08-09,COD : 2073-08-09,
,65,Khani Khola,2.000,Khani Khola,85,2069-11-03,2104-11-02,Khani Khola Hydropower Company  Ltd,"Baluwatar Kathmandu,  P.O.Box 8975, Ph 01-4417220","27o 29' 10""","27o 29' 44""","85o 17' 02""","85o 18' 20""",    (Lalitpur),2073-08-09,COD : 2073-08-09,
,66,Jogmai Khola,7.600,Jogmai Khola,86,2069-12-29,2104-12-28,Sanvi Energy Pvt. Ltd.,"G.P. O. Box 8975,  EPC 1341 KTM ,  Pulchok Lalitpur,  Phone 5532860","26o 54' 40""","26o 55' 24""","88o 01' 09""","88o 03' 20""","   , Namsaling, Naya Bazar, Panchakanya, Phikal Bazar (Ilam)",2074-01-18,COD : 2074-01-18,
,67,Daram Khola-A,2.500,Daram,89,2070-02-02,2105-02-01,Sayapatri Hydropower Pvt. Ltd.,"Gongabu-29 Kathmandu,  Phone 01-4364009","28o 16' 45""","28o 17' 52""","83o 24' 30""","83o 25' 27""",   (Baglung),2073-03-12,COD : 2073-03-12,
,68,Upper Puwa-1,3.000,Puwa,90,2070-02-06,2105-02-05,Joshi Hydropower Co. P. Ltd,"Newbaneswor,  KathmanduTel: 01-4115787","26o 59' 47""","27o 00' 50""","87o 52' 50""","87o 54' 10""",    (Ilam),2071-10-01,COD : 2071-10-01,
,69,Sardi Khola,4.000,Sardi,94,2070-03-13,2105-03-12,Mandakini Hydropower Pvt. Ltd.,"Baneswor Kathmandu,  P.O.Box 7327,  Phone 01-4461574","28o 20' 00""","28o 21' 07""","83o 58' 30""","84o 00' 35""",    (Kaski),2074-08-23,Survey Lic No: 603 Date: 2068-02-20,
,70,Upper Mai -C,6.100,Mai Khola,95,2070-03-21,2105-03-20,"Mai Valley Hydropower P.L.,  ","P.O.Box 24194,  Phone 01-5010631,  Lalitpur Kathmandu","27o 00' 00""","27o 01' 21""","87o 57' 37""","87o 58' 09""","   , Mabu, Sulubung (Ilam)",2074-04-09, COD 2074-04-09,
,71,Kabeli  B - 1,25.000,Kabeli Khola,98,2070-03-28,2105-03-27,Arun Kabeli Power Limited.,"Baneshwor,  Ktm,  P.O. Box: 11039,  Ph: 01-4109801,  4475234,  Fax: 4474895","27o 16' 23""","27o 17' 13""","87o 47' 00""","87o 50' 10"""," Nagi, Tharpu (Panchthar)",2076-07-23, ,
,72,Lower Hewa,21.600,Hewa Khola,99,2070-04-09,2105-04-08,Mountain Hydro Nepal (P.)  Ltd,"P.O. Box: 3970,  New Baneshwor,  Kathmandu,  Nepal.  Ph: 015525184,  4299844,  Fax 01-5525184","27o 09' 02""","27o 10' 10""","87o 44' 15""","87o 46' 31"""," Bharapa, Nangeen, Phidim (Panchthar)",2076-04-21, COD: 2076-04-21,
,73,Mai Cascade HPP,8.000,Mai Khola,101,2070-04-15,2105-04-14,Himal Dolkha Hydropower Company Pvt Ltd,"Baneswar,  Kathmandu Tel: 9851085922, 2043191","26o 50' 50""","26o 52' 36""","87o 54' 43""","87o 56' 11"""," Goduk, Chisapani, Ilam N.P., Soyak (Ilam)",2074-12-26,Survey Lic No: 590 Date: 2067-11-26,
,74,Chhandi Khola,2.000,Chhandi,103,2070-05-24,2105-05-23,Chhyandi Hydropower Co. P. Ltd,"Ph: 014424925,  9851095497,  014426483","28o 15' 12""","28o 16' 04""","84o 28' 08""","84o 29' 20""",    (Lamjung),2072-12-13,COD : 2072-12-13,
,75,Puwa Khola-1,4.000,Puwa,106,2070-06-21,2105-06-20,Puwa Khola - 1 Hydropower Pvt. Ltd,"PO Bpx 20762 Baluwatar Nepal. Ph: 4410057,  9851129708","26o 55' 02""","26o 56' 58""","87o 53' 46""","87o 55' 00"""," Shantidanda, Barbote, Ilam N.P. (Ilam)",2074-06-23, ,
,76,Rudi A,8.800,Rudi Khola,109,2070-09-12,2105-09-11,Bindhabasini Hydropower Developmwnt Company Pvt.Ltd,"P.O.Box.10242,  Newbaneswor,  Kathmandu,  phone 4781891,  Fax 4785671","28o 13' 51""","28o 16' 39""","84o 11' 00""","84o 13' 00"""," Mijuredada (Kaski) Bhoje, Pasagaun (Lamjung)",2075-12-05,Survey Lic No:   365 Date: 2065-03-20,
,77,Ghalemdi Khola,5.000,Ghalemdi,110,2070-09-14,2105-09-13,Ghalemdi Hydro Limited,"P.O.Box 9560,  Banasthatli,  Kathmandu; Tel. 014362520; 69521079; ghalemdi@gmail.com","28o 31' 30""","28o 32' 30""","83o 40' 30""","83o 42' 00""", Narchyang (Myagdi),2076-11-05,"Survey Lic No:   347 Date: 2065-02-21,  Commercial operation date: 2076-11-05 ( NEA letter ne bi pra 076/77,  vi vya vi ch no. 592 dated 2076-11-18)",
,78,Kapadigad,3.330,Kapadigad,111,2070-09-14,2105-09-13,Salmanidevi Hydropower Pvt Ltd," Dhunga Adda,  Tinthana-7, KTM,  014316325","29o 00' 00""","29o 01' 15""","80o 45' 00""","80o 47' 05""","  , Barchhen (Doti)",2076-02-25,Survey Lic No: 543 Date: 2067-01-07,
,79,Madkyu Khola,13.000,Madkyu, 116,2070-11-21,2105-11-20,Silkes Hydropower Pvt.Ltd,"P.O.Box. 170,  Lekhnath Nagar Palika - 3,  Kaski,  Phone 061-560236,  Fax 061-532466","28o 21' 40""","28o 22' 30""","84o 07' 31""","84o 08' 45""",    (Kaski),2074-12-19,Survey Lic No:   604 Date: 2068-02-20,
,80,Chake Khola,2.830,Chake Khola,114,2070-11-21,2105-11-20,Garjang Upatyaka HP Company Limited,"Khusibu,  Ward No. 17,  KTM","27o 37' 15""","27o 38' 19""","86o 18' 45""","86o 21' 42""", Chuchure (Ramechhap),2074-08-28,Survey Lic No: 563 Date: 2067-02-24,
,81,Solu Hydropower Project,23.500,Solu Khola,117,2070-12-04,2105-12-03,Upper Solu Hydroelectric Company Pvt Ltd,"Hattisar,  Kathmandu,  Tel: 4434895,  Fax: 4434937","27o 26' 42""","27o 28' 48""","86o 34' 06""","86o 35' 00"""," Gora Khami, Garma, Salleri (Solukhumbu)",2076-12-10,"  (Business operation date,  BOD : 2076-12-10 as per letter from NEA dated 2077-03-11)",
,82,Dwari Khola SHP,3.750,Dwari,124,2071-02-26,2106-02-25,Bhugol Energy Development Company Pvt Ltd,"Kupandole,  Lalitpur,  Tel: 9841488723, 9841505699","28o 55' 00""","28o 56' 48""","81o 48' 56""","81o 50' 29""",,2074-01-23,Survey Lic No: 647 Date: 2069-10-07,
,83,Bagmati Nadi,22.000,Bagmati,  125,2071-03-19,2106-03-18,Mandu Hydropower Pvt. Ltd.,"Kamaladi 13, Kathmandu.Tel no. 4169088","27o 30' 21""","27o 32' 30""","85o 13' 43""","85o 15' 20"""," Kogate, Ipa Panchakanya, Sisneri Mahadevsthan (Makawanpur)",2075-12-19,Survey Lic No:   299 Date: 2064-10-15,
,84,Molun Khola SHP,7.000,Molun, 127,2071-06-02,2106-06-01,Molun Hydropower Co. Pvt. Ltd,"Rabibhawan Kathmandu,  P.O.Box 5813,  Phone 01-4278130,  Fax 01-4280799","27o 20' 00""","27o 21' 20""","86o 25' 42""","86o 26' 19"""," Baraneshwor, Prapchan, Harkapur (Okhaldhunga)",2074-12-12,Survey Lic No:   609 Date: 2068-03-05,
,85,Ghatte Khola,5.000,Ghatte Khola,138,2072-03-24,2107-03-23,Mankamana Engineering HP,"P.O.Box. 8020,  Kathmandu, 4785771","27o 46' 25""","27o 47' 14""","86o 17' 00""","86o 18' 35""", Marbu (Dolakha),2077-11-23,COD 2077-07-23,
,86,Iwa Khola,9.900,Iwa Khola,139,2072-03-28,2107-03-27,Rairang Hydropower Development Co Ltd,"Trade Tower Building,  Thapathali , Katmandu Tel no 01 5111015","27o 16' 30""","27o 17' 20""","87o 50' 05""","87o 51' 52""", Sawalakhu (Taplejung),2076-06-20,Survey Lic No: 065/66 BUS 506 Date: 2066-02-14 (C.O.D 2076-06-20),
,87,Theule Khola HPP,1.500,Theule,140,2072-03-28,2107-03-27,Barahi Hydropower Pvt Ltd,"Lakeside Pokhra-6,  Tel: 061-520872, 01-520872","28o 10' 20""","28o 11' 10""","83o 36' 51""","83o 38' 25"""," Kusmi, Binamare, Sarkuwa (Baglung)",2075-03-24,Survey Lic No: 658 Date: 2070-02-06,
,88,Taksar Pikhuwa,8.000,Pikhuwa,159,2073-03-03,2108-03-02,Taksar Pikhuwa Khola Hydropower Pvt. Ltd.,"Gairigaun,  Tinkune,  Kathmandu,  Phone no 9851099478,  4495459,  Email: taksarpikhuwahydropower@gmail.com","27o 07' 00""","27o 08' 50""","87o 01' 40""","87o 04' 15"""," Kota, Mane Bhanjyang, Taksar, Dalgaun (Bhojpur)",2078-01-01,Survey Lic No: 593 Date: 2067-12-07,
,89,Bijaypur Khola-2 HPP,4.500,Bijaypur,166,2073-04-25,2108-04-24,Civil hydropower company,"Lekhanath Nagarpalika,  Phone no 0610465562,  email : civilhydropower@gmail.com","28o 09' 10""","28o 10' 37""","84o 02' 00""","84o 02' 36""", Lekhnath (Kaski),2077-11-18,Survey Lic No: 562 Date: 2067-02-23,
